,Alive in collection:,72,,,,,
,,,,,,,
Cattleya,Procatavola,(Bc. Richard Mueller × Prosthechea vitellina) Golden Peacock,,"March 7th, 2026",White Plains Orchids ,Thriving,blooming size plant
Cattleya ,Cattleya,walkeriana f. coerulea,,"March 7th, 2026",Ten Shen Orchids,alive,"Larger, mounted"
Cattleya ,Cattleya,walkeriana f. coerulea,,"March 7th, 2026",Ten Shen Orchids,alive,"Smaller, potted"
Cattleya ,Caulocattleya,Chantilly Lace,Twinkle'?,"March 7th, 2026",Ten Shen Orchids,Thriving ,blooming size
Coelogyne ,Coelogyne ,cristata x mooriana,Unchained Melody',ca.2013,Dead mom,alive,"Potted, in grow tent"
Coelogyne ,Coelogyne ,cristata x mooriana,Unchained Melody',ca.2013,Dead mom,alive,"Potted, on windowsill"
Cymbidium,Cymbidium ,unk,,"Feb, 2021",Dead Mom,deceased,
Dendrobium,Dendrobium,(Sunny Hope x Grand Smile) New Hope (mini),,ca. 2021,Hausermann's,"deceased, 5.6.2025",
Dendrobium,Dendrobium,Super Ise (Super Star x Ise),,ca.2015,Marble Branch Farms,alive,
Dendrobium,Dendrobium ,aphyllum spp. lateriflora,,ca. 2019,Andy's Orchids,alive,
Dendrobium,Dendrobium ,hekousense,,"Jan, 2022",Seattle Orchid,"deceased, 9.16.2023",
Dendrobium,Dendrobium ,jenkinsii,,"June 17th, 2023",Andy's Orchids,alive,
Dendrobium,Dendrobium ,superbum,Sweet Little Scent',"August 31st, 2022",Hausermann's,"deceased, 1.2.2025",
Dendrobium,Dendrobium ,unicum ,,"April 20th, 2023",seattle orchid,"deceased, 4.20.2024 ",
Dendrobium ,Dendrobium ,aphyllum,,"July 12th, 2025",NHOS raffel,thriving,Obtained as one mature cane with another growth developing. Mature cane flowered with leaves on
Oncidium,Incidium,Popcorn (Ionopsis utriculariodies x Gomesa (Oncidium) flexuosa),Higlands',"Feb 18th, 2024","Chris, from Tower Hill BG",thriving,
Oncidium,Oncidium,flexuosum ,,ca.2018,Andy's Orchids ,alive,
Oncidium,Oncidium,Little Panda,('Moon Shadow' x varicosum),"Jan 7th, 2023",Hausermann ,alive,
Oncidium,Oncidium,Twinkle,Tsiku Marguerite ',"Jan, 2022",Seattle Orchid,thriving,
Oncidium,Oncidium,Twinkle,Pink Profusion',"April 20th, 2023",seattle orchid,thriving,
Oncidium,Oncidium ,Sharry Baby,Sweet Fragrance ',"August 31st, 2022",Hausermann ,alive,
Oncidium,Tolumnia,hawkesiana,,"Sept 13th, 2025",NHOS Auction,Thriving ,
Oncidium,Tolumnia,,Genting Orange',"March 2nd, 2024",Ten Shin Gardens,"thriving, deceased 12.19.25",
Oncidium,Tolumnia,,Genting Pink Lady',"March 2nd, 2024",Ten Shin Gardens,"thriving, deceased, 1.19.26",
Oncidium,Tolumnia ,Rrm. 'Orcidom Valentine' x onusta,,"Nov 10th, 2024",Paph Paradise,Thriving,"Original cross, grown from seed"
Phalaenopsis,Phalaenopsis ,(pulcherrima x parishii) x violacea ,Su Glad Kid Blue',"May 31st, 2024",Etsy,Thriving,
Phalaenopsis,Phalaenopsis ,equestris v. coeruela,Wilson',"May 4th, 2022",bigleaforchids.com,Thriving,
Phalaenopsis,Phalaenopsis ,GV Bell 'Blue Star' x Sapphire Galah 'Sapphire',,"May 31st, 2024",Etsy,alive,
Phalaenopsis,Phalaenopsis ,japonica,Minmaru',"June 17th, 2023",Andy's Orchids,alive,
Phalaenopsis,Phalaenopsis ,Pinlong Cheris,,"Jan 7th, 2023",Hausermann ,Thriving,
Phalaenopsis,Phalaenopsis ,pulcherrima x sib,,"Dec. 14th, 2024",NHOS Auction,"alive, deceased 2.24.26","a little beat up, but should recover. Formally Doritis pulcherrima"
Phalaenopsis,Phalaenopsis ,pulchra,,"May 4th, 2022",bigleaforchids.com,"deceased, July 30th 2022",
Phalaenopsis,Phalaenopsis ,schilleriana ,,"May 4th, 2022",bigleaforchids.com,"deceased, Nov 28th, 2022",
Phalaenopsis,Phalaenopsis ,,Little Lowes',"Sept 24th, 2022",Lowe's ,"deceased, 5.21.23",
Phalaenopsis,Phalaenopsis ,,Father's Gift',Pre 2022,Dad,alive,
